icsd_ids,formula,material_id,nelements,nsites
656840,U1Co1As2,mp-19786,3,8
656841,U1Ni1Sb2,mp-1080551,3,8
1478,La2Fe2S5,mp-2995,3,18
656842,U1Cu1Sb2,mp-1079070,3,8
1485,Li2Te1O4,mp-13843,3,28
1486,K1V1O3,mp-18815,3,20
1487,V1H4N1O3,mp-743581,4,36
656846,Ca1Ni1N1,mp-28645,3,6
1489,Cs1V1O3,mp-504651,3,20
1488,Rb1V1O3,mp-19031,3,20
656869,Pr1Ge1Au1,mp-1019094,3,6
656870,Nd1Ge1Au1,mp-1018826,3,6
656871,Sm1Ge1Au1,mp-1019101,3,6
1511,Na2Fe1Ni1F7,mp-561395,4,22
1510,Eu2Si1O4,mp-504653,3,28
656873,Tb1Ge1Au1,mp-1019278,3,6
1518,Hf1B4Ir3,mp-13861,3,16
1519,H13S2N3O8,mp-721299,4,52
1520,Rb2In3F11,mp-554576,3,64
1522,Sr1Zr1O3,mp-5076,3,10
1524,La7I3O18,mp-1197276,3,56
1525,Na1H2S1O4,mp-721314,4,64
1528,K2Re1F6,mp-7824,3,9
1529,Cu3Te1O6,mp-21861,3,40
1531,Ca1H8Cl2O4,mp-720571,4,90
1533,Na2Ti1Si1O5,mp-6138,4,18
656907,La1Fe1Si1,mp-505332,3,6
656909,Pr1Fe1Si1,mp-1018895,3,6
